trial,boundary_f1,line_f1,windowdiff,pk,val_accuracy,val_loss,training_time,training_time_minutes,total_params,attention_enabled,hidden_dim,num_layers,actual_epochs
0,0.11627906976744187,0.0,1.0,1.0,0.0,inf,905.0558807849884,15.084264679749806,0,False,256,1,8
1,0.07863247863247863,0.0,1.0,1.0,0.0,inf,10492.474395751953,174.87457326253255,0,False,128,1,12
2,0.19431279620853084,0.0,1.0,1.0,0.0,inf,1509.8920938968658,25.16486823161443,0,True,256,2,12
3,0.2961082910321489,0.0,1.0,1.0,0.0,inf,848.1414670944214,14.135691118240356,0,True,256,1,8
4,0.08880994671403197,0.0,1.0,1.0,0.0,inf,357.50417470932007,5.958402911822001,0,False,128,2,8
5,0.1742522756827048,0.0,1.0,1.0,0.0,inf,2245.295830965042,37.4215971827507,0,True,256,2,15
6,0.05828779599271403,0.0,1.0,1.0,0.0,inf,655.105954170227,10.918432569503784,0,False,128,2,8
7,0.12251655629139072,0.0,1.0,1.0,0.0,inf,1042.9104931354523,17.381841552257537,0,False,128,2,12
8,0.3679694947569113,0.0,1.0,1.0,0.0,inf,2754.6317949295044,45.91052991549174,0,False,128,1,15
9,0.3125618199802176,0.0,1.0,1.0,0.0,inf,3024.937889814377,50.41563149690628,0,True,128,1,15
10,0.3460869565217391,0.0,1.0,1.0,0.0,inf,21521.13428401947,358.6855714003245,0,False,128,1,15
11,0.3702359346642468,0.0,1.0,1.0,0.0,inf,2672.1432070732117,44.53572011788686,0,False,128,1,15
12,0.35469710272168575,0.0,1.0,1.0,0.0,inf,7434.953830957413,123.91589718262354,0,False,128,1,15
13,0.34805653710247353,0.0,1.0,1.0,0.0,inf,2630.37136387825,43.83952273130417,0,False,128,1,15
14,0.3649906890130354,0.0,1.0,1.0,0.0,inf,24891.77473282814,414.86291221380236,0,False,128,1,15
15,0.39019963702359345,0.0,1.0,1.0,0.0,inf,1601.173985004425,26.686233083407085,0,False,128,1,15
16,0.36460176991150445,0.0,1.0,1.0,0.0,inf,1641.0876359939575,27.35146059989929,0,False,128,1,15
17,0.3066666666666667,0.0,1.0,1.0,0.0,inf,3284.588541984558,54.7431423664093,0,False,128,1,15
19,0.38086476540938363,0.7577229214675761,0.3570076184410545,0.26289039961021315,0.0,0.48765286803245544,1415.3700909614563,23.58950151602427,0,True,256,1,15
20,0.3345454545454546,0.7091477090919016,0.3547107056422751,0.27875195735848685,0.0,0.5407298803329468,1083.3245990276337,18.055409983793894,0,True,256,1,12
21,0.3813868613138687,0.757021107554054,0.3565614770167117,0.2632068983417494,0.0,0.4852325990796089,1177.539766073227,19.625662767887114,0,True,256,1,15
22,0.3952855847688123,0.7616275715109104,0.3558237687071083,0.26242838542859703,0.0,0.483169749379158,1255.246412038803,20.92077353398005,0,True,256,1,15
23,0.32460732984293195,0.7150978706922316,0.40322893124144066,0.30121280105720416,0.0,0.5414470657706261,7887.930157899857,131.46550263166426,0,True,256,1,15
